text,intent,is_fake
Public inquiry regarding site development at Public Hospital,general,0
Dead animal carcass on the road in Green Park,garbage,0
Feedback on the new park in Green Park,general,0
"Dirty water supply in Green Park, please check",water,0
Public inquiry regarding site development at Police Chowki,general,0
Illegal dumping behind the Silver Towers,garbage,0
Transformer spark and fire risk near High School,utility,0
testing the system,general,1
Contaminated water from the main line in Green Park,water,0
Transformer spark and fire risk near Main Junction,utility,0
Water shortage in Sector 12 for 6 days,water,0
Power outage in Green Park since 5 PM,utility,0
Streetlight not working for the entire lane at City Center,utility,0
Broken dividers on the main road at Lakeview,roads,0
Public inquiry regarding site development at Central Station,general,0
free gift click here,general,1
Illegal dumping behind the Galaxy Apartments,garbage,0
Public inquiry regarding site development at High School,general,0
sample data for triage,general,1
Public inquiry regarding site development at Public Hospital,general,0
General civic issue report for Green Park,general,0
Garbage not collected for 8 days in Sector 12,garbage,0
Requesting information about municipal taxes,general,0
Streetlight dark zone making it unsafe near Main Junction,safety,0
Overflowing bins at Green Park market,garbage,0
New road cracking after 8 weeks of usage,roads,0
Maintenance needed for the bridge at Grand Mall,maintenance,0
Damaged road surface near Sector 12 station,roads,0
Waste collection truck missed our ward 7,garbage,0
Deep pothole at Police Chowki junction,roads,0
asdf qwer zxcv,general,1
Water shortage in Railway Colony for 8 days,water,0
Requesting information about municipal taxes,general,0
Open drain near the school at Green Park,maintenance,0
Contaminated water from the main line in Lakeview,water,0
Feedback on the new park in Industrial Area,general,0
General civic issue report for Lakeview,general,0
test test test 123,general,1
sample data for triage,general,1
test test test 123,general,1
asdf qwer zxcv,general,1
Garbage not collected for 8 days in Industrial Area,garbage,0
Garbage not collected for 8 days in Lakeview,garbage,0
free gift click here,general,1
No water tanker arrived today at Market Road,water,0
sample data for triage,general,1
Public inquiry regarding site development at Grand Mall,general,0
Clogged gutter causing street flooding,maintenance,0
Garbage not collected for 6 days in Railway Colony,garbage,0
dummy report please ignore,general,1
Transformer spark and fire risk near Public Hospital,utility,0
Overflowing bins at Market Road market,garbage,0
Clogged gutter causing street flooding,maintenance,0
Requesting information about municipal taxes,general,0
Feedback on the new park in Railway Colony,general,0
Garbage not collected for 1 days in Green Park,garbage,0
Streetlight not working for the entire lane at Green Park,utility,0
No security patrol visible in Lakeview for weeks,safety,0
Public park fence damaged at Railway Colony,maintenance,0
New road cracking after 8 weeks of usage,roads,0
Dead animal carcass on the road in Sector 12,garbage,0
Damaged road surface near Market Road station,roads,0
free gift click here,general,1
Fire hazard due to chemicals stored at Police Chowki,safety,0
Contaminated water from the main line in Green Park,water,0
Overhanging electrical wires near Commercial Plaza,utility,0
Low water pressure and dry taps for 9 hours,water,0
